Source,Project,Address,Price,Size_sqft,PSF
EdgeProp,Selegie Road,"$2,800, PARKLANE SHOPPING MALL, 4 Parks nearby",2800,610,4.59
99co,"36 Temple Street, 058581","S$ 4,500/mo, S$ 4.59 psf, 36 Temple Street, 058581",4500,980,4.59
99co,"S$ 4,500/mo","S$ 4,500/mo, S$ 4.59 psf",4500,980,4.59
EdgeProp,80 BENDEMEER ROAD,"$104,530, 80 BENDEMEER ROAD, 2 MRT/LRTs Currently nearby",104530,22724,4.6
EdgeProp,80 BENDEMEER ROAD,"$30,452, 80 BENDEMEER ROAD, 1 Mall nearby",30452,6620,4.6
EdgeProp,WOODS SQUARE,"EXCLUSIVE, $22,728, WOODS SQUARE",22728,4941,4.6
99co,Gek Poh Ville,"S$ 2,300/mo, S$ 4.6 psf, Gek Poh Ville",2300,500,4.6
99co,"S$ 2,300/mo","S$ 2,300/mo, S$ 4.6 psf",2300,500,4.6
SRX,Jurong West Street 73,"Jurong West Street 73, Retail •, 500 sqft",2300,500,4.6
SRX,500 sqft | $4.60 psf(Built),"500 sqft, $4.60 psf(Built), $2,300",2300,500,4.6
99co,Pavilion Square,"S$ 1,388/mo, S$ 4.61 psf, Pavilion Square",1388,301,4.61
99co,"S$ 1,388/mo","S$ 1,388/mo, S$ 4.61 psf",1388,301,4.61
EdgeProp,THE COMMERZE@IRVING,"EXCLUSIVE, $1,999, THE COMMERZE@IRVING",1999,431,4.64
EdgeProp,NORTH BRIDGE ROAD,"EXCLUSIVE, $6,500, NORTH BRIDGE ROAD",6500,1400,4.64
EdgeProp,PEOPLE'S PARK CENTRE,"$3,200, PEOPLE'S PARK CENTRE, Office",3200,688,4.65
99co,"163 Geylang Road, 389240","S$ 8,889/mo, S$ 4.68 psf, 163 Geylang Road, 389240",8889,1900,4.68
99co,"S$ 8,889/mo","S$ 8,889/mo, S$ 4.68 psf",8889,1899,4.68
EdgeProp,MANHATTAN HOUSE,"EXCLUSIVE, $4,400, MANHATTAN HOUSE",4400,939,4.69
EdgeProp,ALICE @ MEDIAPOLIS,"$20,955, ALICE @ MEDIAPOLIS, 1 Bus Stop nearby",20955,4458,4.7
EdgeProp,WOODS SQUARE,"$2,650, WOODS SQUARE, 3 Malls nearby",2650,560,4.73
99co,Kreta Ayer Conservation Area,"S$ 6,000/mo, S$ 4.76 psf, Kreta Ayer Conservation Area",6000,1260,4.76
99co,"S$ 6,000/mo","S$ 6,000/mo, S$ 4.76 psf",6000,1260,4.76
99co,Kampong Glam Conservation Area,"S$ 2,000/mo, S$ 4.76 psf, Kampong Glam Conservation Area",2000,420,4.76
99co,"S$ 2,000/mo","S$ 2,000/mo, S$ 4.76 psf",2000,420,4.76
SRX,North Bridge Road,"13d, North Bridge Road, Retail •",2000,420,4.76
SRX,420 sqft | $4.76 psf(Built),"420 sqft, $4.76 psf(Built), $2,000",2000,420,4.76
EdgeProp,THE STRATEGY,"$4,032, THE STRATEGY, 1 MRT/LRT Currently nearby",4032,840,4.8
EdgeProp,6 CHANGI BUSINESS PARK AVE 1,"EXCLUSIVE, $33,268, 6 CHANGI BUSINESS PARK AVE 1",33268,6931,4.8
EdgeProp,6 CHANGI BUSINESS PARK AVE 1,"EXCLUSIVE, $11,299, 6 CHANGI BUSINESS PARK AVE 1",11299,2354,4.8
EdgeProp,ALEXANDRA TECHNOPARK,"$52,132, ALEXANDRA TECHNOPARK, 3 Parks nearby",52132,10861,4.8
